"NAME","ECONOMY","DISPLAY_NAME","ALIASES","CATEGORIES","TYPE","VALUE","STATIC","STATICPRICE","STOCK","MEDIAN","INITIATION","STARTPRICE","CEILING","FLOOR","MAXSTOCK","COMPONENTS","DATA","VERSION"
"ACACIA_DOOR_ITEM_0","default","acacia_door","acaciadoor,","doors,","ITEM","2","false","4","0","10000","true","4","1000000","0","0","acacia_wood,2;","amount,1;durability,0;maxStackSize,64;data,0;itemMetaData,enchantments[0]{0}displayName[0]{0}lore[0]{0};isBlank,false;material,ACACIA_DOOR_ITEM;metaType,ITEM;maxDurability,0;","1"
"ACACIA_FENCE_0","default","acacia_fence","acaciafence,","fences,","ITEM","1.6666666666666665","false","3.333333333333333","0","10000","true","3.333333333333333","1000000","0","0","acacia_wood,4/3;stick,2/3;","amount,1;durability,0;maxStackSize,64;data,0;itemMetaData,enchantments[0]{0}displayName[0]{0}lore[0]{0};isBlank,false;material,ACACIA_FENCE;metaType,ITEM;maxDurability,0;","1"
"ACACIA_FENCE_GATE_0","default","acacia_gate","acaciagate,","fences,","ITEM","4","false","8","0","10000","true","8","1000000","0","0","stick,4;acacia_wood,2;","amount,1;durability,0;maxStackSize,64;data,0;itemMetaData,enchantments[0]{0}displayName[0]{0}lore[0]{0};isBlank,false;material,ACACIA_FENCE_GATE;metaType,ITEM;maxDurability,0;","1"
"ACACIA_STAIRS_0","default","acacia_wood_stairs","acaciawoodstairs,","stairs,","ITEM","1.5","false","3","0","10000","true","3","1000000","0","0","acaciawood,3/2;","amount,1;durability,0;maxStackSize,64;data,0;itemMetaData,enchantments[0]{0}displayName[0]{0}lore[0]{0};isBlank,false;material,ACACIA_STAIRS;metaType,ITEM;maxDurability,0;","1"
"ACTIVATOR_RAIL_0","default","activator_rail","activatorrail,","redstone,","ITEM","33.36","false","66.66666666666666","0","10000","true","66.66666666666666","1000000","0","0","ironingot,1;redstonetorch,1/6;stick,1/3;","amount,1;durability,0;maxStackSize,64;data,0;itemMetaData,enchantments[0]{0}displayName[0]{0}lore[0]{0};isBlank,false;material,ACTIVATOR_RAIL;metaType,ITEM;maxDurability,0;","1"
"ANVIL_0","default","anvil","anvil,","blocks,","ITEM","992","false","1984","0","15000","true","1984","1000000","0","0","ironblock,3;ironingot,4;","amount,1;durability,0;maxStackSize,64;data,0;itemMetaData,enchantments[0]{0}displayName[0]{0}lore[0]{0};isBlank,false;material,ANVIL;metaType,ITEM;maxDurability,0;","1"
"APPLE_0","default","apple","apple,","food,organic,","ITEM","200","false","300","0","2000","true","300","1000000","0","0","","amount,1;durability,0;maxStackSize,64;data,0;itemMetaData,enchantments[0]{0}displayName[0]{0}lore[0]{0};isBlank,false;material,APPLE;metaType,ITEM;maxDurability,0;","1"
"ARMOR_STAND_0","default","armor_stand","armorstand,","wood,","ITEM","4.5","false","9","0","10000","true","9","1000000","0","0","stick,6;stone_slab,1;","amount,1;durability,0;maxStackSize,16;data,0;itemMetaData,enchantments[0]{0}displayName[0]{0}lore[0]{0};isBlank,false;material,ARMOR_STAND;metaType,ITEM;maxDurability,0;","1"
"ARROW_0","default","arrow","arrow,","arrows,","ITEM","2.875","false","5.75","0","1000","true","5.75","1000000","0","0","flint,1/4;stick,1/4;feather,1/4;","amount,1;durability,0;maxStackSize,64;data,0;itemMetaData,enchantments[0]{0}displayName[0]{0}lore[0]{0};isBlank,false;material,ARROW;metaType,ITEM;maxDurability,0;","1"
"ARROW_DAMAGE_1","default","power_1","power1,","enchantments,","ENCHANTMENT","50","false","100","0","100","true","100","1000000","0","0","","lvl,1;enchantment,ARROW_DAMAGE;","1"
"ARROW_DAMAGE_2","default","power_2","power2,","enchantments,","ENCHANTMENT","400","false","800","0","75","true","800","1000000","0","0","","lvl,2;enchantment,ARROW_DAMAGE;","1"
"ARROW_DAMAGE_3","default","power_3","power3,","enchantments,","ENCHANTMENT","800","false","1600","0","50","true","1600","1000000","0","0","","lvl,3;enchantment,ARROW_DAMAGE;","1"
"ARROW_DAMAGE_4","default","power_4","power4,","enchantments,","ENCHANTMENT","1600","false","3200","0","50","true","3200","1000000","0","0","","lvl,4;enchantment,ARROW_DAMAGE;","1"
"ARROW_DAMAGE_5","default","power_5","power5,","enchantments,","ENCHANTMENT","2800","false","5600","0","50","true","5600","1000000","0","0","","lvl,5;enchantment,ARROW_DAMAGE;","1"
"ARROW_FIRE_1","default","flame_1","flame1,","enchantments,","ENCHANTMENT","800","false","1600","0","50","true","1600","1000000","0","0","","lvl,1;enchantment,ARROW_FIRE;","1"
"ARROW_INFINITE_1","default","infinity_1","infinity1,","enchantments,","ENCHANTMENT","1000","false","2000","0","50","true","2000","1000000","0","0","","lvl,1;enchantment,ARROW_INFINITE;","1"
"ARROW_KNOCKBACK_1","default","punch_1","punch1,","enchantments,","ENCHANTMENT","400","false","800","0","75","true","800","1000000","0","0","","lvl,1;enchantment,ARROW_KNOCKBACK;","1"
"ARROW_KNOCKBACK_2","default","punch_2","punch2,","enchantments,","ENCHANTMENT","1600","false","3200","0","50","true","3200","1000000","0","0","","lvl,2;enchantment,ARROW_KNOCKBACK;","1"
"BAKED_POTATO_0","default","baked_potato","bakedpotato,","food,","ITEM","24","false","48","0","10000","true","48","1000000","0","0","","amount,1;durability,0;maxStackSize,64;data,0;itemMetaData,enchantments[0]{0}displayName[0]{0}lore[0]{0};isBlank,false;material,BAKED_POTATO;metaType,ITEM;maxDurability,0;","1"
"BANNER_0","default","black_banner","blackbanner,","banners,","ITEM","114.5","false","229","0","1000","true","229","1000000","0","0","black_wool,6;stick,1;","amount,1;durability,0;maxStackSize,16;data,0;itemMetaData,enchantments[0]{0}displayName[0]{0}lore[0]{0};isBlank,false;material,BANNER;metaType,ITEM;maxDurability,0;","1"
"BANNER_1","default","red_banner","redbanner,","banners,","ITEM","54.5","false","109","0","10000","true","109","1000000","0","0","red_wool,6;stick,1;","amount,1;durability,1;maxStackSize,16;data,1;itemMetaData,enchantments[0]{0}displayName[0]{0}lore[0]{0};isBlank,false;material,BANNER;metaType,ITEM;maxDurability,0;","1"
"BANNER_10","default","lime_banner","limebanner,","banners,","ITEM","70.5","false","141","0","10000","true","141","1000000","0","0","lime_wool,6;stick,1;","amount,1;durability,10;maxStackSize,16;data,10;itemMetaData,enchantments[0]{0}displayName[0]{0}lore[0]{0};isBlank,false;material,BANNER;metaType,ITEM;maxDurability,0;","1"
